WP_CD;WP_TTL
0;BRITE/EURAM 2 Workprogramme, 1991-1994
1;MATERIALS - RAW MATERIALS
1.1;RAW MATERIALS
1.1.1;Exploration technology
1.1.2;Mining technology
1.1.3;Mineral processing
1.2;RECYCLING
1.2.1;Recycling and recovery of industrial waste including non-ferrous metals
1.2.2;Recycling, recovery and reuse of advanced materials
1.3;STRUCTURAL MATERIALS
1.3.1;Metals and metal matrix composites
1.3.2;Ceramics, ceramic matrix composites and advanced glasses
1.3.3;Polymers and polymer matrix composites
1.4;FUNCTIONAL MATERIALS FOR MAGNETIC, SUPERCONDUCTING, OPTICAL, ELECTRICAL AND BIOMATERIAL APPLICATIONS
1.4.1;Magnetic materials
1.4.2;High temperature superconducting materials
1.4.3;Electrical and ionic conducting materials
1.4.4;Optical materials
1.4.5;Biomaterials
1.5;MASS COMMODITY MATERIALS
1.5.1;Packaging materials
1.5.2;New construction industry materials
2;DESIGN AND MANUFACTURING
2.1;DESIGN OF PRODUCTS AND PROCESSES
2.1.1;Innovative design tools and techniques
2.1.2;Design methodologies for complex components
2.1.3;Maintainability and reliability
2.2;MANUFACTURING
2.2.1;Tools, techniques and systems for high quality manufacturing
2.2.2;Manufacturing techniques for industrial use of advanced materials
2.2.3;Integrated approach to chemical and process engineering
2.3;ENGINEERING AND MANAGEMENT STRATEGIES FOR THE WHOLE PRODUCT LIFE CYCLE
2.3.1;Design integrating strategies
2.3.2;Engineering
2.3.3;Human factors in engineering and manufacturing management
0;Workprogramme of Industrial and Materials Technologies
1;MATERIALS - RAW MATERIALS
1.1;RAW MATERIALS
1.1.1;Exploration technology
1.1.2;Mining technology
1.1.3;Mineral processing
1.2;RECYCLING
1.2.1;Recycling and recovery of industrial waste including non-ferrous metals
1.2.2;Recycling, recovery and reuse of advanced materials
1.3;STRUCTURAL MATERIALS
1.3.1;Metals and metal matrix composites
1.3.2;Ceramics, ceramic matrix composites and advanced glasses
1.3.3;Polymers and polymer matrix composites
1.4;FUNCTIONAL MATERIALS FOR MAGNETIC, SUPERCONDUCTING, OPTICAL, ELECTRICAL AND BIOMATERIAL APPLICATIONS
1.4.1;Magnetic materials
1.4.2;High temperature superconducting materials
1.4.3;Electrical and ionic conducting materials
1.4.4;Optical materials
1.4.5;Biomaterials
1.5;MASS COMMODITY MATERIALS
1.5.1;Packaging materials
1.5.2;New construction industry materials
2;DESIGN AND MANUFACTURING
2.1;DESIGN OF PRODUCTS AND PROCESSES
2.1.1;Innovative design tools and techniques
2.1.2;Design methodologies for complex components
2.1.3;Maintainability and reliability
2.2;MANUFACTURING
2.2.1;Tools, techniques and systems for high quality manufacturing
2.2.2;Manufacturing techniques for industrial use of advanced materials
2.2.3;Integrated approach to chemical and process engineering
2.3;ENGINEERING AND MANAGEMENT STRATEGIES FOR THE WHOLE PRODUCT LIFE CYCLE
2.3.1;Design integrating strategies
2.3.2;Engineering
2.3.3;Human factors in engineering and manufacturing management
T403;Development of multi-layered safety objectives
T504;Protocols for inter-vehicle communication
T330;General purpose programmable roadside processor
T515;Implementing new RTI applications: assessment of political and social issues
T509;Control of on-street parking and loading: standards and legislation
T501;International planning
T513;Identify legislative changes and make recommendations
T121;Strategies for communication between traffic control and information centres
T123;Information functional requirements analysis and methodology
T319;Car-pooling management
II;DEVELOPMENT OF TELEMATICS TECHNOLOGY APPLIED TO MEDICINE
T111;Assessment of User Needs, Market Viability and Economic Possibilities for Applications of IT&T Technologies to the Health Care sector
T112;Strategies, Guidelines and Codes for Data Protection and Computer Security in Health Care Informatics
T113;Telematics for Health Care Quality, Safety and Medical Technology Assessment
T121;European Medical Record Architecture
T122;Telecommunications Services for Health Care Added Value
T123;Standardization Monitoring and Promotion
T124;Protocols for Transfer of Information
T125;Use of Machine readable Cards in the Health Care Sector
T126;Development of European Data bases
T127;Management Accountancy and Econometric Models of Health Care Costs
T128;Management of Resources in the Diagnostic Environment
T211;Definition of Accurate and Significant Patient Data Sets
T212;Data Standardization, Classification and Encoding
II.5;Medical Use of Multi-media Workstations
II.7;Telecommunication Systems for Medicine
T221;Analysis and interpretation of medical signals
T222;Modelling, Representation and Interpretation of Medical Images
T223;Image analysis for diagnosis and therapy management
T311;Computer Aided Therapeutic Systems
T312;Architecture of an Integrated Biomedical Laboratory
