,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,latitude,longitude,name,number,status
0,RUE DES CHAMPEAUX (PRES DE LA GARE ROUTIERE) - 93170 BAGNOLET,43,7,True,50,True,Paris,2015/06/09 16:00:16,48.864527821,2.41617072443,31705 - CHAMPEAUX (BAGNOLET),31705,OPEN
1,52 RUE D'ENGHIEN / ANGLE RUE DU FAUBOURG POISSONIERE - 75010 PARIS,12,21,True,33,False,Paris,2015/06/09 16:00:16,48.8724200631,2.34839523628,10042 - POISSONNIÈRE - ENGHIEN,10042,OPEN
2,74 BOULEVARD DES BATIGNOLLES - 75008 PARIS,42,1,True,44,True,Paris,2015/06/09 16:00:16,48.8821489456,2.31986005477,08020 - METRO ROME,8020,OPEN
3,37 RUE CASANOVA - 75001 PARIS,2,35,True,37,False,Paris,2015/06/09 16:00:16,48.8682170168,2.3304935114,01022 - RUE DE LA PAIX,1022,OPEN
4,139 AVENUE JEAN LOLIVE / MAIL CHARLES DE GAULLE - 93500 PANTIN,15,10,True,25,False,Paris,2015/06/09 16:00:16,48.8932686647,2.41271573339,35014 - DE GAULLE (PANTIN),35014,OPEN
5,57 & 36 RUE JULIEN LACROIX - 75020 PARIS,24,1,True,26,False,Paris,2015/06/09 16:00:16,48.8703936716,2.38422247271,20040 - PARC DE BELLEVILLE,20040,OPEN
6,BOULEVARD ALEXANDRE SOLJENITSYNE - 92800 PUTEAUX,35,25,True,60,False,Paris,2015/06/09 16:00:16,48.884478,2.24772065,28002 - SOLJENITSYNE (PUTEAUX),28002,OPEN
7,48 RUE OLIVIER DE SERRES - 75015 PARIS,18,6,True,24,False,Paris,2015/06/09 16:00:16,48.8346588628,2.29578948032,15111 - SERRES,15111,OPEN
8,ROUTE DE L'ARTILLERIE - 75012 PARIS,29,19,True,55,False,Paris,2015/06/09 16:00:16,48.8390411459,2.43765533908,12124 - PYRAMIDE ARTILLERIE,12124,OPEN
9,56 RUE SAINT GEORGES - 75009 PARIS,21,1,True,22,False,Paris,2015/06/09 16:00:16,48.8778722783,2.3374468042,09021 - SAINT GEORGES,9021,OPEN
10,62 RUE DE LILLE - 75007 PARIS,4,56,True,65,False,Paris,2015/06/09 16:00:16,48.8597101044,2.32580902463,07007 - MUSÉE D'ORSAY,7007,OPEN
11,103 RUE DES PYRENNEES - 75020 PARIS,21,0,True,21,False,Paris,2015/06/09 16:00:16,48.855501354,2.40516852064,20011 - PYRÉNÉES-DAGORNO,20011,OPEN
12,FACE 143 RUE ANDRE KARMAN - 93300 AUBERVILLIERS,0,0,True,29,False,Paris,2015/06/09 16:00:16,48.910143671,2.38505201824,33006 - KARMAN (AUBERVILLIERS),33006,CLOSED
13,27 RUE GAY LUSSAC - 75005 PARIS,16,8,True,24,True,Paris,2015/06/09 16:00:16,48.8447302561,2.34192394487,05005 - SAINT JACQUES GAY LUSSAC,5005,OPEN
14,137 BOULEVARD MENILMONTANT - 75011 PARIS,40,0,True,40,False,Paris,2015/06/09 16:00:16,48.8666176587,2.38301344042,11029 - MENILMONTANT OBERKAMPF,11029,OPEN
15,FACE 27 RUE QUINCAMPOIX - 75004 PARIS,12,16,True,28,False,Paris,2015/06/09 16:00:16,48.8600883261,2.35014833592,04020 - BEAUBOURG PLACE MICHELET,4020,OPEN
16,7 CITE VANEAU - 75007 PARIS,18,18,True,36,False,Paris,2015/06/09 16:00:16,48.8542683341,2.31945401006,07012 - CITE VANEAU,7012,OPEN
17,124 RUE PETIT - 75019 PARIS,20,1,True,22,False,Paris,2015/06/09 16:00:16,48.8863896349,2.39363751443,19019 - PETIT HONNEGER,19019,OPEN
18,36 RUE DE LA SANTE - 75014 PARIS,3,34,True,37,False,Paris,2015/06/09 16:00:16,48.835128865,2.34157863456,14113 - ARAGO 2,14113,OPEN
19,54 BOULEVARD DE GRENELLE - 75015 PARIS,34,35,True,69,False,Paris,2015/06/09 16:00:16,48.8513967211,2.29188931323,15028 - DUPLEIX,15028,OPEN
